seatsTotal_x,seatsPercentEU_x,groupLongName_x,groupId,seatsTotal_y,seatsPercentEU_y,groupLongName_y
8,1.07,Κoιvoβoυλευτική Ομάδα τoυ Ευρωπαϊκoύ Λαϊκoύ Κόμματoς (Χριστιαvoδημoκράτες),EPP,7.0,0.97,Κoιvoβoυλευτική Ομάδα τoυ Ευρωπαϊκoύ Λαϊκoύ Κόμματoς (Χριστιαvoδημoκράτες)
2,0.27,Ομάδα της Προοδευτικής Συμμαχίας των Σοσιαλιστών και Δημοκρατών στο Ευρωπαϊκό Κοινοβούλιο,SD,3.0,0.42,Ομάδα της Προοδευτικής Συμμαχίας των Σοσιαλιστών και Δημοκρατών στο Ευρωπαϊκό Κοινοβούλιο
1,0.13,Ομάδα των Ευρωπαίων Συντηρητικών και Μεταρρυθμιστών,ECR,2.0,0.28,Ομάδα των Ευρωπαίων Συντηρητικών και Μεταρρυθμιστών
6,0.8,Ομάδα της Αριστεράς στο Ευρωπαϊκό Κοινοβούλιο - GUE/NGL,GUENGL,,,
4,0.53,Μη Εγγεγραμμένοι,NA,,,
